student_id,reading,math,pre_reading,pre_math,teacher_fem,two_teachers,mixed_grades,class_size,percent_girls,percent_native,teacher_exp,grade,school_id,classroom_id
42,-0.113568536937237,0.999379575252533,0.703086376190186,-1.00285279750824,1,1,0,30,39.2857131958008,67.8571395874023,9,8,1503,8B
43,0.0245836954563856,-0.00186845927964896,-0.0698536708950996,0.229092687368393,1,1,1,27,60,93.3333358764648,21,6,1514,6/7
44,0.0875419452786446,0.193577066063881,-0.222010180354118,0.0571999028325081,1,0,1,23,100,100,6,6,1514,5/6
45,-0.0983347818255424,0.291299849748611,-0.429496347904205,-0.372532039880753,1,1,0,25,54.1666679382324,21.7391300201416,16,6,1547,6A
46,-0.389141917228699,-1.3699871301651,-1.73527586460114,-1.06010317802429,1,1,0,24,60.8695640563965,21.7391300201416,39,6,1547,6B
47,-0.275217473506927,1.07308197021484,-2.42136335372925,-0.544424831867218,1,1,1,25,44.4444427490234,44.4444427490234,9,6,1548,6MF
48,-1.13264882564545,0.682190895080566,-1.96766042709351,-0.114692881703377,1,0,1,28,44.4444427490234,44.4444427490234,14,6,1548,6MG
49,-0.0983347818255424,-0.0995912253856659,-0.0698536708950996,0.830717384815216,0,0,0,23,40,100,5,6,1549,5/6
50,-0.871821820735931,0.193577066063881,-0.429496347904205,0.400985449552536,0,0,1,26,65.2173919677734,100,22,6,1549,6A
51,0.510792911052704,-0.409008473157883,-0.0963515415787697,0.0420419126749039,1,0,0,21,47.6190490722656,0,15,4,1566,4A
52,-0.0810678526759148,-0.803252518177032,0.181769460439682,1.68369209766388,1,1,0,22,53.8461532592773,0,15,4,1566,4B
53,1.85867810249329,3.23662948608398,0.379431903362274,0.87265682220459,0,1,0,27,80.7692337036133,88.461540222168,4,8,1602,8B
54,-1.23939263820648,-4.59374523162842,-0.703449368476868,-0.114453464746475,0,0,0,26,36,83.3333358764648,8,8,1603,8B
55,-0.886339962482452,-0.310447454452515,0.181769460439682,0.191282838582993,0,1,0,24,39.1304359436035,90,36,4,1603,4A
56,2.14903664588928,1.50784552097321,2.11869645118713,0.87265682220459,0,1,0,27,61.538459777832,87.5,34,8,1619,8RB
57,0.664373219013214,0.592606842517853,2.11869645118713,0.379101693630219,0,0,0,27,46.1538467407227,75,19,8,1619,8LR
58,-0.34914243221283,-0.526018142700195,0.306836515665054,-1.10156381130219,1,0,0,19,38.8888893127441,88.8888854980469,31,8,1631,8
59,0.664373219013214,-0.0175522435456514,0.0406534187495708,-0.213164493441582,0,0,0,20,36.8421058654785,94.7368392944336,8,8,1631,8A
60,0.183562204241753,0.675162613391876,0.236814245581627,0.639005601406097,1,1,0,27,52,95.6521759033203,25,4,1654,4
61,2.70181608200073,-0.409008473157883,-0.00943873170763254,-0.629542231559753,1,1,0,27,52,95.6521759033203,25,4,1654,4
62,-0.0810678526759148,-1.09893548488617,-0.136910855770111,-0.256439924240112,0,0,0,16,40,73.3333358764648,19,4,1660,4A/K
63,0.394128054380417,0.280918598175049,-0.136910855770111,-0.928024113178253,0,0,0,18,58.8235282897949,81.25,14,4,1660,4ROB
64,-0.581873118877411,0.675162613391876,0.236814245581627,0.191282838582993,0,1,0,18,47.0588226318359,100,35,4,1686,4A
65,0.948997557163239,-1.29605758190155,-0.394752204418182,0.639005601406097,0,0,0,19,42.1052627563477,94.7368392944336,27,4,1686,4B
66,0.510792911052704,0.872284650802612,-1.12192273139954,-0.256439924240112,1,1,0,17,62.5,0,28,4,1691,4B
67,0.394128054380417,0.872284650802612,-1.02921569347382,-0.256439924240112,0,0,0,15,62.5,7.14285707473755,31,4,1691,4A
68,0.867025017738342,0.48674538731575,0.505574584007263,1.08855652809143,0,0,1,20,66.6666641235352,25,20,6,1692,6BPS
69,-0.97675222158432,-0.490482300519943,-1.90679776668549,-0.97415679693222,1,0,1,22,50,41.6666679382324,5,6,1717,6/7 6
70,-2.3918137550354,-2.24949216842651,-1.73527586460114,-1.66172790527344,1,0,0,23,68.1818161010742,27.2727279663086,2,6,1717,6
71,-0.922788023948669,-0.197313994169235,-1.73527586460114,-0.286585658788681,1,0,0,23,63.6363639831543,22.7272720336914,2,6,1717,6
72,-0.658962965011597,0.0958543047308922,-1.29263877868652,-0.286585658788681,1,0,1,22,50,33.3333320617676,5,6,1717,6/7 6
73,-0.712927162647247,-1.17454171180725,-0.966193854808807,-1.31794238090515,1,0,0,23,63.6363639831543,27.2727279663086,2,6,1717,6
74,-1.18661308288574,-0.197313994169235,-2.08938550949097,-0.286585658788681,1,0,1,22,58.3333320617676,41.6666679382324,5,6,1717,6/7 6
75,-1.17365109920502,0.287527292966843,-0.86376416683197,-0.509297609329224,1,0,0,17,37.5,13.3333330154419,6,8,1768,8A
